Rank,Robert,Phillip,Kenn,Max,Efgen,LaMar,Kyle,Destiny
1,Man City - 198,Man City - 411,Liverpool - 360,Spurs - 514,Man Utd - 205,Man City - 257,Liverpool - 414,Liverpool - 514
2,Liverpool - 183,Chelsea - 317,Spurs - 286,Aston Villa - 168,Wolves - 194,Arsenal - 227,Man City - 292,Wolves - 283
3,Wolves - 134,West Ham - 159,Arsenal - 238,Brentford - 168,Chelsea - 191,West Ham - 206,Leicester - 290,Man City - 206
4,Chelsea - 112,Crystal Palace - 134,Leeds - 124,Man City - 127,Crystal Palace - 186,Leicester - 193,Aston Villa - 207,Arsenal - 143
5,Newcastle - 110,Brentford - 115,Crystal Palace - 109,Chelsea - 124,Man City - 163,Man Utd - 151,Chelsea - 204,Crystal Palace - 75
6,Watford - 110,Southampton - 86,Man City - 89,Brighton - 123,Arsenal - 94,Aston Villa - 122,West Ham - 140,Chelsea - 65
7,Burnley - 99,Man Utd - 69,West Ham - 84,Southampton - 80,Spurs - 77,Chelsea - 122,Arsenal - 125,Watford - 51
8,Leicester - 97,Newcastle - 63,Man Utd - 82,Liverpool - 73,West Ham - 71,Brentford - 65,Everton - 84,Spurs - 49
9,Crystal Palace - 83,Leicester - 61,Newcastle - 82,West Ham - 63,Leicester - 53,Liverpool - 62,Man Utd - 53,Leeds - 39
10,Brighton - 81,Arsenal - 56,Aston Villa - 79,Everton - 58,Everton - 48,Burnley - 59,,Man Utd - 15
11,Aston Villa - 75,Norwich - 51,Watford - 68,Wolves - 55,Leeds - 36,Southampton - 39,,Norwich - 14
12,West Ham - 71,Everton - 48,Brighton - 66,Leeds - 42,Aston Villa - 33,Newcastle - 2,,
13,Everton - 65,Brighton - 41,Chelsea - 65,Crystal Palace - 40,Brighton - 26,,,
14,Man Utd - 59,Spurs - 29,Leicester - 32,Burnley - 37,Brentford - 25,,,
15,Arsenal - 31,Leeds - 11,Burnley - 29,Newcastle - 36,Southampton - 23,,,
16,Brentford - 23,Wolves - 5,Wolves - 28,Man Utd - 35,Watford - 23,,,
17,Spurs - 10,Burnley - 1,Southampton - 26,Leicester - 28,Newcastle - 18,,,
18,Southampton - 2,,Everton - 23,,Burnley - 10,,,
19,Norwich - 1,,Brentford - 2,,Norwich - 2,,,
20,,,,,Liverpool - 1,,,
